Text,Is Capitalized,Is Roman Numeral,Is Number,is_heading,is_figure_heading,is_table_heading
Abstract—Association rules represent a promising technique to,False,False,False,True,False,False
"improve heart disease prediction. Unfortunately, when association",False,False,False,False,False,False
"rules are applied on a medical data set, they produce an extremely",False,False,False,False,False,False
large number of rules. Most of such rules are medically irrelevant,False,False,False,False,False,False
and the time required to ﬁnd them can be impractical. A more,False,False,False,False,False,False
"important issue is that, in general, association rules are mined on",False,False,False,False,False,False
the entire data set without validation on an independent sample.,False,False,False,False,False,False
"To solve these limitations, we introduce an algorithm that uses",False,False,False,False,False,False
"search constraints to reduce the number of rules, searches for",False,False,False,False,False,False
"association rules on a training set, and ﬁnally validates them on an",False,False,False,False,False,False
independent test set. The medical signiﬁcance of discovered rules is,False,False,False,False,False,False
"evaluated with support, conﬁdence, and lift. Association rules are",False,False,False,False,False,False
applied on a real data set containing medical records of patients,False,False,False,False,False,False
"with heart disease. In medical terms, association rules relate heart",False,False,False,False,False,False
perfusion measurements and risk factors to the degree of disease,False,False,False,False,False,False
in four speciﬁc arteries. Search constraints and test set validation,False,False,False,False,False,False
signiﬁcantly reduce the number of association rules and produce,False,False,False,False,False,False
a set of rules with high predictive accuracy. We exhibit important,False,False,False,False,False,False
"rules with high conﬁdence, high lift, or both, that remain valid on",False,False,False,False,False,False
the test set on several runs. These rules represent valuable medical,False,False,False,False,False,False
knowledge.,False,False,False,False,False,False
"Index Terms—Association rules, heart disease, search con-",False,False,False,False,False,False
"straint, train and test.",False,False,False,False,False,False
I. INTRODUCTION,True,True,False,True,False,False
A,True,False,False,True,False,False
SSOCIATION rules represent a data mining technique,False,False,False,False,False,False
that has great potential in the medical domain to improve,False,False,False,False,False,False
disease prediction. The use of association rules on medical data,False,False,False,False,False,False
records with heart perfusion measurements is explored for the,False,False,False,False,False,False
ﬁrst time in [1]. Discovering association rules on segmented,False,False,False,False,False,False
images is studied in [2]. Neural networks are used to predict,False,False,False,False,False,False
heart response based on exercise stress and heart muscle thick-,False,False,False,False,False,False
ening images [3]. A basic set of constraints is introduced in [4],False,False,False,False,False,False
"and [5], and preliminary results stress the importance of search",False,False,False,False,False,False
constraints. Given the remarkable similarity between conﬁdence,False,False,False,False,False,False
"and conﬁdence factors, association rule conﬁdence is used to",False,False,False,False,False,False
validate conﬁdence factors of production rules in an expert sys-,False,False,False,False,False,False
tem [6]. Validated discovered rules have been added to an expert,False,False,False,False,False,False
system knowledge base [7].,False,False,False,False,False,False
"In this research work, association rules are mined on a medical",False,False,False,False,False,False
data set to improve heart disease diagnosis. Each rule represents,False,False,False,False,False,False
a simple predictive pattern that describes a subset of the data set,False,False,False,False,False,False
"projected on a subset of attributes. From a medical perspective,",False,False,False,False,False,False
association rules relate combinations of binary target attributes,False,False,False,False,False,False
(absence/existence of artery disease) and subsets of independent,False,False,False,False,False,False
attributes (risk factors and heart muscle health measurements).,False,False,False,False,False,False
Association rules have important advantages over traditional,False,False,False,False,False,False
"Manuscript received June 9, 2005; revised September 29, 2005.",False,False,False,False,False,False
"The author is with Teradata (NCR), San Diego, CA 92127 USA (e-mail:",False,False,False,False,False,False
carlos.ordonez@teradata-ncr.com).,False,False,False,False,False,False
Digital Object Identiﬁer 10.1109/TITB.2005.864475,False,False,False,False,False,False
"supervised machine learning or statistical algorithms (e.g., de-",False,False,False,False,False,False
"cision trees [8], [9], logistic regression [10], and support vector",False,False,False,False,False,False
machines [10]): they have a straightforward interpretation based,False,False,False,False,False,False
on the probability of occurrence of a pattern and the conditional,False,False,False,False,False,False
probability between two patterns (medical measurements and,False,False,False,False,False,False
risk factors relationship to speciﬁc artery narrowing); they can,False,False,False,False,False,False
link combinations of predicted attributes (predict coexistence,False,False,False,False,False,False
of disease in two or more arteries); they can handle several,False,False,False,False,False,False
predicted attributes simultaneously without the need of having,False,False,False,False,False,False
separate data subsets or separate runs (predicting disease of all,False,False,False,False,False,False
arteries with a single data set); they can ﬁnd patterns that exist in,False,False,False,False,False,False
small subsets of attributes (which is particularly challenging for,False,False,False,False,False,False
"data sets that are small but also high dimensional); and ﬁnally,",False,False,False,False,False,False
each rule can refer to overlapping subsets of the data set with,False,False,False,False,False,False
respect to other rules (avoiding data set fragmentation when,False,False,False,False,False,False
"possible). In contrast, for our medical data set, supervised or",False,False,False,False,False,False
"predictive algorithms would require a large set of models (e.g.,",False,False,False,False,False,False
"many decision trees or regression models), extra data prepara-",False,False,False,False,False,False
tion and data selection steps to handle infrequent cases or to,False,False,False,False,False,False
"create adequate target attributes, and complex feature selection",False,False,False,False,False,False
or stepwise procedures to ﬁnd small subsets of attributes related,False,False,False,False,False,False
